dataTag,Middle,Side,Top,Horizontal,Vertical,Pressure (mBar),Temperature (K),Altitude (m), Average Roll, Max Roll, Average Pitch, Max Pitch,,
36,242,236,213,23,23,747.87,304.18,2779.68,12.99,13.73,15.25,17.07,,
37,278,165,152,0,56,727.73,303.67,3032.4,11.35,13.71,16.65,20.33,,
38,215,287,230,0,12,708.56,303.32,3281.61,12.17,13.78,17.93,21.79,,
39,327,355,346,22,46,683.78,302.7,3613.13,13.98,14.64,15.74,17.97,,
40,287,261,323,11,34,664.63,302.82,3886.31,9.21,12.66,19.6,21.54,,
41,355,350,282,12,66,644.12,302.67,4185.64,13.44,15.06,17.87,19.75,,
42,337,430,355,22,57,620.5,301.71,4532.81,13.8,15.66,16.73,18.89,,
43,362,381,426,0,46,599.58,301.36,4860.21,13.13,15.75,18,20.07,,
44,533,457,453,11,81,583.32,300.8,5118.83,12.62,14.53,18.09,19.95,,
45,467,511,425,23,46,562.76,300,5455.92,13.44,15.37,17.6,20.19,,
46,539,511,714,22,115,542.83,299.19,5795.16,11.4,14.34,18.26,21.34,,
47,740,660,678,11,120,523.7,298.04,6125.96,10.07,12.34,15.15,18.77,,
48,649,726,876,23,150,503.42,296.96,6493.78,11.47,15.56,17.33,20.33,,
49,1008,713,782,47,174,484.29,295.75,6851.37,10.54,13.87,17.86,20.12,,
50,999,887,945,47,152,465.22,295.04,7234.91,11.41,13.19,16.04,18.06,,
51,929,966,1069,35,68,447.16,293.97,7604.8,10.16,13.18,15.78,19.57,,
52,958,1136,1080,37,96,429.4,293.25,7993.48,9.96,14.15,19.33,24.07,,
53,1121,1166,1507,50,155,414.49,292.6,8332.79,10.17,13.74,19.03,24.91,,
54,1358,1230,1524,23,197,396.77,291.72,8750.95,11.69,14.66,17.36,21.4,,
55,1679,1441,1505,82,308,377.29,291.05,9245.18,11.34,18.01,16.16,21.46,,
56,1836,1894,1504,71,201,364.15,288.97,9541.83,11.08,15.35,19.12,24.65,,
57,1784,2281,1801,89,220,349.09,287.87,9938.8,11.97,15.74,20.01,23.57,,
58,2050,2168,2455,61,433,334.53,286.1,10315.61,11.61,14.94,21.52,25.51,,
59,2554,2391,2438,165,210,318.82,285.4,10788,7.73,9.95,16.4,20.83,,
60,2929,2881,2641,135,335,303.24,284.2,11263.48,12.28,15.25,14.04,19.65,,
